sisters,11
brothers,11
long,11
day,7
today,8
intense,2
days,3
synod,81
tired,1
hope,27
tiredness,1
adversely,1
affect,1
tone,7
debate,45
encouraged,1
gracious,2
conversations,8
hours,2
change,16
response,4
begin,7
offering,2
apology,5
lot,5
apologies,1
simply,17
personal,5
hoping,3
concrete,5
proposals,7
implementing,3
previous,3
decisions,7
llf,23
give,7
list,4
excuses,1
offer,4
simple,5
heartfelt,2
lack,3
add,1
determined,1
ensure,4
july's,1
actions,2
hear,27
paperwork,3
intention,4
rowing,1
back,18
grass,3
desire,6
act,3
law,4
unity,25
church,76
friday,3
core,1
ordination,3
promises,2
sincere,2
aware,3
words,7
direct,5
impact,4
real,4
people's,2
lives,5
lgbtqi,2
people,58
spoken,2
pain,4
heard,19
expressed,4
part,11
causing,1
understanding,5
completely,1
feel,15
hollow,1
deliver,2
minor,2
house,25
bishops,37
hiding,1
things,14
answering,1
questions,3
implied,1
legal,9
advice,7
lost,4
due,2
apologised,1
bishop,46
misrepresentation,1
substance,1
theological,10
relevant,1
decision,3
included,1
papers,5
difficult,4
place,20
surprising,2
requests,2
drop,1
item,30
altogether,1
avoid,3
understand,5
motives,1
request,2
move,41
business,21
adjourn,3
good,30
range,3
views,11
proposed,5
ahead,6
formal,8
vote,50
clear,12
work,34
reconciliation,31
finding,3
forward,23
agree,24
word,9
committed,5
agreed,8
context,3
inappropriate,1
oppression,1
first-order,1
issue,13
disagree,22
heart,6
gospel,6
gift,2
anglicanism,3
midst,1
anxieties,1
sight,1
born,2
discord,1
grew,1
disputes,2
nature,5
eucharist,1
question,13
clergy,15
forced,3
liturgy,5
hooker,1
offered,4
comprehensive,2
vision,7
held,4
extremes,1
disagreements,2
greater,6
smaller,1
generations,1
learned,4
history,5
world,9
god,30
wider,5
missionary,3
afraid,3
negative,1
connotations,1
circles,1
parents,1
missionaries,3
grandparents,1
great-grandparents,1
great-great-grandparents,1
wife,1
served,3
west,1
belittle,1
importance,4
today's,1
discussions,4
matter,8
wrestling,1
conclusion,1
imperative,2
same-sex,5
marriage,7
decide,3
grows,1
shrinks,1
coming,7
years,19
age,2
moment,2
violence,3
threat,2
spreading,1
future,8
rests,1
willingness,1
reconciled,6
display,1
god's,6
plan,1
gather,2
christ,9
heaven,2
earth,2
appeal,1
corinthians,3
show,8
roadmap,1
illustration,1
commitments,16
form,11
basis,3
find,14
series,2
speeches,7
point,14
paper,15
focus,5
principle,5
free,2
alternative,2
love,26
minds,1
happen,9
suggesting,1
stands,2
chance,2
success,1
quote,3
mind,8
months,4
involve,2
intensive,3
diplomacy,3
staff,6
team,4
group,12
lay,5
return,2
absolutely,2
july,4
put,13
argument,1
proceed,5
agreements,1
swiftly,1
spent,2
conversation,3
recent,5
weeks,2
passionately,2
dare,2
suggest,7
parishes,4
fresh,1
expressions,1
chaplaincies,1
schools,1
reach,2
agreement,2
serving,2
nation,3
join,3
holds,1
ends,2
spectrum,3
communion,16
archbishop,5
called,15
presidential,1
address,1
variable,1
geometry,1
perfect,1
side,9
anglican,7
roots,5
radical,2
christian,5
inclusion,6
means,7
scripture,7
tradition,1
learning,4
beg,5
motion,38
open,8
minute,4
speech,12
limit,1
grawke,3
king,3
ago,6
infamous,1
note,5
precipitated,1
process,18
chair,16
calling,11
feels,6
groundhog,1
spoke,3
silent,1
middle,6
intervening,1
steadily,1
moved,2
direction,7
gathering,1
momentum,1
evangelicals,2
journeyed,1
inclusivity,1
advocates,1
churches,8
traditional,2
congregation,2
members,23
previously,1
engaged,1
realised,2
favour,23
blessing,3
sex,6
couples,3
anecdotally,1
pews,1
quiet,2
rejoicing,1
media,1
headlines,2
year,9
services,3
started,1
intentioned,1
informed,1
wardens,1
vacancies,1
sort,6
arrangements,1
told,6
stuck,2
reset,9
fruitless,1
arguments,3
bless,4
marriages,3
fruitful,2
reconcilers,1
oversee,1
advisors,2
remind,4
serve,1
support,18
travel,6
set,8
mandated,1
gay,3
small,4
minority,3
divert,1
differentiation,4
courageous,2
holding,2
differences,6
diocese,10
broad,3
integrity,4
prayers,9
faith,16
content,2
coexist,1
neighbours,1
sake,2
lead,1
modelling,1
hold,4
structural,17
messy,2
power,6
undoubtedly,1
responsibly,1
wisely,1
voted,7
vocal,1
orchestrate,2
separation,1
splitting,1
remain,7
christians,7
ways,5
rejoice,1
unites,1
divides,1
crying,1
heresy,1
threatening,1
action,2
humbly,1
honesty,5
transparency,11
breadth,3
grateful,9
undefended,1
manner,2
leading,5
helping,2
engage,2
differently,2
